列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
smart精灵#1 2024款 灵动标准版,13.05,0.59,2024/08,54005462,559088,焦作,6,https://www.che168.com/dealer/559088/54005462.html,smart精灵#1 2024款 灵动标准版,¥13.05,0.59万公里,2024年08月,自动 / 0L,郑州,2024年08月,0.59万公里,,,,2025-03-26,2026-08,2025-08,-,2次（以车辆登记证为准）,,,小型SUV,白色,,后置后驱,,,,,,,,,,,,
宏光MINIEV 2024款 第三代 215km 青春版,3.3,0.02,2025/01,54740336,559088,焦作,6,https://www.che168.com/dealer/559088/54740336.html,宏光MINIEV 2024款 第三代 215km 青春版,¥3.30,0.02万公里,2025年01月,自动 / 0L,郑州,2025年01月,0.02万公里,,,,2025-05-13,2027-01,2026-01,-,0次（以车辆登记证为准）,,,微型车,白色,,后置后驱,准新  随时过户,,,,,,,,,,,
长安Lumin 2025款 205km 清香款,3.59,0.01,2025/03,53818786,462167,焦作,6,https://www.che168.com/dealer/462167/53818786.html,长安Lumin 2025款 205km 清香款,¥3.59,0.01万公里,2025年03月,自动 / 0L,焦作,2025年03月,0.01万公里,,,,2025-03-05,2027-03,2025-03,-,0次（以车辆登记证为准）,,,微型车,白色,,前置前驱,补贴新车，原版原漆，车况。新车什么样这车什么样，所有保护膜都在。,,,,,,,,,,,
五菱缤果 2024款 333km 悦享款,5.31,0.6,2024/10,54715921,559088,焦作,6,https://www.che168.com/dealer/559088/54715921.html,五菱缤果 2024款 333km 悦享款,¥5.31,0.6万公里,2024年10月,自动 / 0L,郑州,2024年10月,0.6万公里,,,,2025-05-11,2026-10,2025-10,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
五菱缤果 2024款 333km 悦享款,5.76,0.01,2024/11,54656206,559088,焦作,6,https://www.che168.com/dealer/559088/54656206.html,五菱缤果 2024款 333km 悦享款,¥5.76,0.01万公里,2024年11月,自动 / 0L,郑州,2024年11月,0.01万公里,,,,2025-05-06,2026-11,2025-11,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,,,,,,,,,,,,
星愿 2025款 310km 青春版,5.69,0.01,2025/03,53954373,462167,焦作,6,https://www.che168.com/dealer/462167/53954373.html,星愿 2025款 310km 青春版,¥5.69,0.01万公里,2025年03月,自动 / 0L,焦作,2025年03月,0.01万公里,,,,2025-03-13,2027-03,2025-03,-,0次（以车辆登记证为准）,,,小型车,白色,,后置后驱,国补新车，原版原漆，车况，4S店直提,,,,,,,,,,,
宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,1.85,1.8,2023/02,54578560,559088,焦作,6,https://www.che168.com/dealer/559088/54578560.html,宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,¥1.85,1.8万公里,2023年02月,自动 / 0L,郑州,2023年02月,1.8万公里,,,,2025-04-28,2027-02,2026-02,-,1次（以车辆登记证为准）,,,微型车,蓝色,,后置后驱,,,,,,,,,,,,
宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,1.8,2.44,2021/09,55080864,559088,焦作,6,https://www.che168.com/dealer/559088/55080864.html,宏光MINIEV 2021款 马卡龙时尚款 磷酸铁锂,¥1.80,2.44万公里,2021年09月,自动 / 0L,郑州,2021年09月,2.44万公里,,,,2025-06-13,2025-09,2025-09,-,0次（以车辆登记证为准）,,,微型车,绿色,,后置后驱,,,,,,,,,,,,
五菱缤果 2024款 203km 轻享款,4.28,0.01,2025/04,54457519,462167,焦作,6,https://www.che168.com/dealer/462167/54457519.html,五菱缤果 2024款 203km 轻享款,¥4.28,0.01万公里,2025年04月,自动 / 0L,焦作,2025年04月,0.01万公里,,,,2025-04-18,2027-04,2026-04,-,0次（以车辆登记证为准）,,,小型车,白色,,前置前驱,原版原漆，国补新车。,,,,,,,,,,,
朗逸 2024款 1.5L 自动满逸版,7.55,1.74,2024/07,54912877,559088,焦作,6,https://www.che168.com/dealer/559088/54912877.html,朗逸 2024款 1.5L 自动满逸版,¥7.55,1.74万公里,2024年07月,自动 / 1.5L,焦作,2024年07月,1.74万公里,,国VI,,2025-05-29,2026-07,2025-07,-,1次（以车辆登记证为准）,,,紧凑型车,白色,92号,前置前驱,,,,,,,,,,,,
小鹏G3 2022款 G3i 460N,7.25,3.15,2023/01,54840711,559088,焦作,6,https://www.che168.com/dealer/559088/54840711.html,小鹏G3 2022款 G3i 460N,¥7.25,3.15万公里,2023年01月,自动 / 0L,郑州,2023年01月,3.15万公里,,,,2025-06-05,2027-01,2026-01,-,0次（以车辆登记证为准）,,,紧凑型SUV,红/紫色,,前置前驱,,,,,,,,,,,,
本田CR-V 2017款 240TURBO CVT两驱都市版,7.58,13.22,2017/08,55044074,559088,焦作,6,https://www.che168.com/dealer/559088/55044074.html,本田CR-V 2017款 240TURBO CVT两驱都市版,¥7.58,13.22万公里,2017年08月,自动 / 1.5L,焦作,2017年08月,13.22万公里,,国V,,2025-06-10,2025-08,2025-08,-,1次（以车辆登记证为准）,,,紧凑型SUV,黑色,92号,前置前驱,,,,,,,,,,,,
迈腾 2019款 280TSI DSG 领先型 国VI,9.4,7.24,2020/01,54402260,559088,焦作,6,https://www.che168.com/dealer/559088/54402260.html,迈腾 2019款 280TSI DSG 领先型 国VI,¥9.40,7.24万公里,2020年01月,自动 / 1.4L,焦作,2020年01月,7.24万公里,,国VI,,2025-06-02,2028-01,2026-01,-,1次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,,,,,,,,,,,,
未知,未知,未知,未知,未知,未知,焦作,6,https://www.che168.com/dealer/未知/未知.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
传祺M8 2021款 大师系列 390T 尊贵版,11.98,5.7,2021/02,55040252,646484,焦作,7,https://www.che168.com/dealer/646484/55040252.html,传祺M8 2021款 大师系列 390T 尊贵版,万,5.7万公里,2021年02月,自动 / 2L,郑州,2021年02月,5.7万公里,,国VI,,2025-06-10,2027-02,2026-02,-,1次（以车辆登记证为准）,,,,白色,95号,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
宝马X5进口 2019款 xDrive40i M运动套装,29.98,7.8,2020/06,55025938,646484,焦作,7,https://www.che168.com/dealer/646484/55025938.html,宝马X5(进口) 2019款 xDrive40i M运动套装,万,7.8万公里,2020年06月,自动 / 3L,郑州,2020年06月,7.8万公里,,国VI,,2025-06-09,2026-06,2025-06,-,1次（以车辆登记证为准）,,,中大型SUV,黑色,-,前置四驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
蔚来EC6 2023款 75kWh,21.2,1.29,2023/11,55028019,523839,焦作,7,https://www.che168.com/dealer/523839/55028019.html,蔚来EC6 2023款 75kWh,¥21.20,1.29万公里,2023年11月,自动 / 0L,武汉,2023年11月,1.29万公里,,,,2025-06-09,2025-11,2025-11,-,1次（以车辆登记证为准）,,,中型SUV,银/灰色,,双电机四驱,详情咨询客服，获取完整车源表！每天上新30台，预约专属顾问，享成交好礼！,,,,,,,,,,,
途观L 2024款 PRO 380TSI 四驱R-Line智领版,21.03,0.12,2025/04,54674257,559088,焦作,7,https://www.che168.com/dealer/559088/54674257.html,途观L 2024款 PRO 380TSI 四驱R-Line智领版,¥21.03,0.12万公里,2025年04月,自动 / 2L,焦作,2025年04月,0.12万公里,,国VI,,2025-06-03,2027-04,2026-04,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,,,,,,,,,,,,
凯迪拉克XT4 2021款 28T 两驱技术型,11.71,3.55,2021/10,54789782,559088,焦作,7,https://www.che168.com/dealer/559088/54789782.html,凯迪拉克XT4 2021款 28T 两驱技术型,¥11.71,3.55万公里,2021年10月,自动 / 2L,焦作,2021年10月,3.55万公里,,国VI,,2025-05-18,2025-10,2025-10,-,1次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置前驱,,,,,,,,,,,,
奔驰S级 2019款 S 450 L 4MATIC,55.9,7.5,2019/10,55013482,186578,焦作,7,https://www.che168.com/dealer/186578/55013482.html,奔驰S级 2019款 S 450 L 4MATIC,¥55.90,7.5万公里,2019年10月,自动 / 3L,郑州,2019年10月,7.5万公里,,欧V,,2025-06-08,2025-10,2025-10,-,0次（以车辆登记证为准）,,,大型车,黑色,95号,前置四驱,原车漆 公里数小 鑫融名车，十一年老店！放心买，简单卖！本店在售精品二手车，车况精品透明，均已过第三方检测机构如查博士，268V等S级标准，支持低利息分期付款，我们向你郑重承诺：一、车况精品，无重大事故，无火烧泡水。二、底盘构：无明显磨损。三、发动机舱：运转良好。四、外观：车身无结构性损伤。五、内饰：干净整洁。六、漆面：保养良好。我们始终不忘初心，严把收车质量标准，让你买的放心，省心，开心！         欢迎您来电咨询，前来试乘试驾！【公司地址】郑州市天河路英才街交叉口迈卡名车茂E馆1楼,,,,,,,,,,,
宝马X1 2023款 sDrive25Li M运动套装,18.69,2.85,2023/10,54906043,559088,焦作,7,https://www.che168.com/dealer/559088/54906043.html,宝马X1 2023款 sDrive25Li M运动套装,¥18.69,2.85万公里,2023年10月,自动 / 2L,焦作,2023年10月,2.85万公里,,国VI,,2025-05-28,2025-10,2025-10,-,1次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置前驱,,,,,,,,,,,,
传祺GS3 2021款 POWER 270T 自动劲享版,5.5,4.06,2021/06,53883631,559088,焦作,7,https://www.che168.com/dealer/559088/53883631.html,传祺GS3 2021款 POWER 270T 自动劲享版,¥5.50,4.06万公里,2021年06月,自动 / 1.5L,焦作,2021年06月,4.06万公里,,国VI,,2025-04-10,2025-06,2025-06,-,1次（以车辆登记证为准）,,,小型SUV,白色,92号,前置前驱,,,,,,,,,,,,
汉 2024款 DM-i 荣耀版 121KM 精英型,10.5,1.3,2024/07,55075808,646484,焦作,7,https://www.che168.com/dealer/646484/55075808.html,汉 2024款 DM-i 荣耀版 121KM 精英型,¥10.50,1.3万公里,2024年07月,自动 / 1.5L,郑州,2024年07月,1.3万公里,,,,2025-06-13,2026-07,2025-07,-,1次（以车辆登记证为准）,,,中大型车,黑色,,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
帕萨特 2022款 280TSI 商务版,9.43,6.4,2022/09,54103223,559088,焦作,7,https://www.che168.com/dealer/559088/54103223.html,帕萨特 2022款 280TSI 商务版,¥9.43,6.4万公里,2022年09月,自动 / 1.4L,焦作,2022年09月,6.4万公里,,国VI,,2025-04-14,2026-09,2025-09,-,1次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,,,,,,,,,,,,
本田CR-V 2019款 耀目版 240TURBO CVT两驱舒适版 国VI,10.88,6.68,2020/04,53759389,559088,焦作,7,https://www.che168.com/dealer/559088/53759389.html,本田CR-V 2019款 耀目版 240TURBO CVT两驱舒适版 国VI,¥10.88,6.68万公里,2020年04月,自动 / 1.5L,焦作,2020年04月,6.68万公里,,国VI,,2025-04-25,2026-04,2025-04,-,2次（以车辆登记证为准）,,,紧凑型SUV,白色,92号,前置前驱,,,,,,,,,,,,
Ghibli 2014款 3.0T 标准版,14.7,8,2014/05,54298709,612190,焦作,7,https://www.che168.com/dealer/612190/54298709.html,Ghibli 2014款 3.0T 标准版,¥14.70,8万公里,2014年05月,自动 / 3L,焦作,2014年05月,8万公里,,欧V,,2025-04-05,2025-05,2025-05,-,1次（以车辆登记证为准）,,,中大型车,白色,95号,前置后驱,14年吉博力 美女车子 3.0T提速嘎嘎快 易损件全部更换 到手0投资 喜欢私,,,,,,,,,,,
宝骏悦也 2023款 智尊版,5.35,2.75,2023/08,55082840,559088,焦作,7,https://www.che168.com/dealer/559088/55082840.html,宝骏悦也 2023款 智尊版,¥5.35,2.75万公里,2023年08月,自动 / 0L,郑州,2023年08月,2.75万公里,,,,2025-06-13,2025-08,2025-08,-,1次（以车辆登记证为准）,,,小型SUV,绿色,,后置后驱,,,,,,,,,,,,
唐新能源 2021款 DM-i 112KM 尊贵型,12.65,1.78,2021/06,54630416,559088,焦作,7,https://www.che168.com/dealer/559088/54630416.html,唐新能源 2021款 DM-i 112KM 尊贵型,¥12.65,1.78万公里,2021年06月,自动 / 1.5L,焦作,2021年06月,1.78万公里,,,,2025-05-03,2025-06,2025-06,-,0次（以车辆登记证为准）,,,中型SUV,红/紫色,,前置前驱,,,,,,,,,,,,
Panamera 2010款 Panamera 4 3.6L,14.8,16,2011/02,54879759,612190,焦作,7,https://www.che168.com/dealer/612190/54879759.html,Panamera 2010款 Panamera 4 3.6L,¥14.80,16万公里,2011年02月,自动 / 3.6L,焦作,2011年02月,16万公里,,欧IV,,2025-05-26,2026-02,2026-02,-,1次（以车辆登记证为准）,,,大型车,白色,95号,前置四驱,12年帕拉梅拉 前后改装22款 三段尾翼全新座椅新款方向盘 中控大屏 全14.8,,,,,,,,,,,
Model Y 2021款 标准续航后驱版,15.34,5.08,2021/11,55010051,559088,焦作,7,https://www.che168.com/dealer/559088/55010051.html,Model Y 2021款 标准续航后驱版,¥15.34,5.08万公里,2021年11月,自动 / 0L,郑州,2021年11月,5.08万公里,,,,2025-06-07,2025-11,2025-11,-,1次（以车辆登记证为准）,,,中型SUV,黑色,,后置后驱,,,,,,,,,,,,
楼兰 2021款 2.5L XE 两驱精英版,9.8,5.64,2020/11,54715873,559088,焦作,7,https://www.che168.com/dealer/559088/54715873.html,楼兰 2021款 2.5L XE 两驱精英版,¥9.80,5.64万公里,2020年11月,自动 / 2.5L,焦作,2020年11月,5.64万公里,,国VI,,2025-05-11,2026-11,2025-11,-,1次（以车辆登记证为准）,,,中型SUV,白色,92号,前置前驱,,,,,,,,,,,,
Panamera 2010款 Panamera 3.6L,10.88,11,2011/09,54732417,612190,焦作,7,https://www.che168.com/dealer/612190/54732417.html,Panamera 2010款 Panamera 3.6L,¥10.88,11万公里,2011年09月,自动 / 3.6L,焦作,2011年09月,11万公里,,欧IV,,2025-05-13,2025-09,2025-09,-,1次（以车辆登记证为准）,,,大型车,香槟/棕色,95号,前置后驱,12年帕拉梅拉 原版无事故 全款10.88  分期0首付倒贴,,,,,,,,,,,
元UP 2024款 401KM 超越型,7.91,1.47,2024/04,55078141,559088,焦作,7,https://www.che168.com/dealer/559088/55078141.html,元UP 2024款 401KM 超越型,¥7.91,1.47万公里,2024年04月,自动 / 0L,郑州,2024年04月,1.47万公里,,,,2025-06-13,2028-04,2026-04,-,0次（以车辆登记证为准）,,,小型SUV,白色,,前置前驱,,,,,,,,,,,,
蔚来ET7 2022款 100kWh 首发版,17.31,2.28,2022/09,54857752,559088,焦作,7,https://www.che168.com/dealer/559088/54857752.html,蔚来ET7 2022款 100kWh 首发版,¥17.31,2.28万公里,2022年09月,自动 / 0L,郑州,2022年09月,2.28万公里,,,,2025-06-11,2026-09,2025-09,-,0次（以车辆登记证为准）,,,中大型车,银/灰色,,双电机四驱,,,,,,,,,,,,
Model Y 2021款 标准续航后驱版,14.7,4.8,2021/09,55062611,532847,焦作,7,https://www.che168.com/dealer/532847/55062611.html,Model Y 2021款 标准续航后驱版,¥14.70,4.8万公里,2021年09月,自动 / 0L,焦作,2021年09月,4.8万公里,,,,2025-06-12,2025-9,2025-9,-,0次（以车辆登记证为准）,,,中型SUV,白色,,后置后驱,仅前杠一处补漆 过户一次 车辆来源由金鱼塘车商平台提供，金鱼塘不参与车辆实际交易，车况及其他问题具体请详询车商。,,,,,,,,,,,
欧拉好猫 2021款 400km标准续航 雅典娜版 磷酸铁锂,6.67,1.86,2022/06,54824890,559088,焦作,7,https://www.che168.com/dealer/559088/54824890.html,欧拉好猫 2021款 400km标准续航 雅典娜版 磷酸铁锂,¥6.67,1.86万公里,2022年06月,自动 / 0L,郑州,2022年06月,1.86万公里,,,,2025-05-21,2026-06,2025-06,-,1次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
别克GL8 2018款 28T 豪华型 国VI,11.5,5.12,2019/04,54004236,559088,焦作,7,https://www.che168.com/dealer/559088/54004236.html,别克GL8 2018款 28T 豪华型 国VI,¥11.50,5.12万公里,2019年04月,自动 / 2L,焦作,2019年04月,5.12万公里,,国VI,,2025-03-18,2025-04,2025-04,-,0次（以车辆登记证为准）,,,,香槟/棕色,95号,前置前驱,,,,,,,,,,,,
Panamera 2010款 Panamera 4 3.6L,9.8,13,2010/11,54879908,612190,焦作,7,https://www.che168.com/dealer/612190/54879908.html,Panamera 2010款 Panamera 4 3.6L,¥9.80,13万公里,2010年11月,自动 / 3.6L,焦作,2010年11月,13万公里,,欧IV,,2025-05-26,2026-05,2025-11,-,1次（以车辆登记证为准）,,,大型车,黑色,95号,前置四驱,11年帕拉梅拉新款前脸 波尔多红新款方向盘 罗盘 全车无暗病 全款9.8,,,,,,,,,,,
迈腾 2020款 330TSI DSG 领先型,11.32,8.76,2021/03,54872851,559088,焦作,7,https://www.che168.com/dealer/559088/54872851.html,迈腾 2020款 330TSI DSG 领先型,¥11.32,8.76万公里,2021年03月,自动 / 2L,焦作,2021年03月,8.76万公里,,国VI,,2025-05-25,2027-03,2026-03,-,0次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,,,,,,,,,,,,
欧拉好猫 2021款 400km标准续航 雅典娜版 三元锂,7.78,2.06,2022/01,54810392,559088,焦作,7,https://www.che168.com/dealer/559088/54810392.html,欧拉好猫 2021款 400km标准续航 雅典娜版 三元锂,¥7.78,2.06万公里,2022年01月,自动 / 0L,长治,2022年01月,2.06万公里,,,,2025-05-20,2028-01,2026-01,-,1次（以车辆登记证为准）,,,小型车,绿色,,前置前驱,,,,,,,,,,,,
捷途山海T2 2024款 C-DM 208KM 山野版,11.6,2.49,2024/06,55069889,646484,焦作,7,https://www.che168.com/dealer/646484/55069889.html,捷途山海T2 2024款 C-DM 208KM 山野版,¥11.60,2.49万公里,2024年06月,自动 / 1.5L,郑州,2024年06月,2.49万公里,,,,2025-06-12,2026-06,2025-06,-,1次（以车辆登记证为准）,,,紧凑型SUV,黑色,,前置前驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
蔚来ES6 2024款 75kWh,17.4,1.87,2024/06,54876356,559088,焦作,7,https://www.che168.com/dealer/559088/54876356.html,蔚来ES6 2024款 75kWh,¥17.40,1.87万公里,2024年06月,自动 / 0L,郑州,2024年06月,1.87万公里,,,,2025-05-26,2026-06,2025-06,-,0次（以车辆登记证为准）,,,中型SUV,银/灰色,,双电机四驱,,,,,,,,,,,,
帕萨特 2022款 280TSI 商务版,9.24,7.85,2022/09,53995517,559088,焦作,7,https://www.che168.com/dealer/559088/53995517.html,帕萨特 2022款 280TSI 商务版,¥9.24,7.85万公里,2022年09月,自动 / 1.4L,焦作,2022年09月,7.85万公里,,国VI,,2025-04-10,2026-09,2025-09,-,2次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,,,,,,,,,,,,
Panamera 2010款 Panamera 3.6L,15.8,16,2011/04,54732108,612190,焦作,7,https://www.che168.com/dealer/612190/54732108.html,Panamera 2010款 Panamera 3.6L,¥15.80,16万公里,2011年04月,自动 / 3.6L,焦作,2011年04月,16万公里,,欧IV,,2025-05-13,2026-04,2026-04,-,1次（以车辆登记证为准）,,,大型车,黑色,95号,前置后驱,12年帕美 无任何事故 记录干净 车况好的一批 贯穿三联屏 全款15.8,,,,,,,,,,,
欧拉好猫 2021款 400km标准续航 维纳斯版 磷酸铁锂,6.94,6.4,2022/03,53685361,559088,焦作,7,https://www.che168.com/dealer/559088/53685361.html,欧拉好猫 2021款 400km标准续航 维纳斯版 磷酸铁锂,¥6.94,6.4万公里,2022年03月,自动 / 0L,郑州,2022年03月,6.4万公里,,,,2025-04-17,2026-03,2025-03,-,1次（以车辆登记证为准）,,,小型车,红/紫色,,前置前驱,,,,,,,,,,,,
大众ID.7 VIZZION 2024款 首发版,12.23,1.64,2024/03,54977179,559088,焦作,7,https://www.che168.com/dealer/559088/54977179.html,大众ID.7 VIZZION 2024款 首发版,¥12.23,1.64万公里,2024年03月,自动 / 0L,郑州,2024年03月,1.64万公里,,,,2025-06-05,2028-03,2026-03,-,0次（以车辆登记证为准）,,,中型车,白色,,后置后驱,,,,,,,,,,,,
Model 3 2021款 标准续航后驱升级版,13.33,3.78,2021/04,55087982,559088,焦作,7,https://www.che168.com/dealer/559088/55087982.html,Model 3 2021款 标准续航后驱升级版,¥13.33,3.78万公里,2021年04月,自动 / 0L,郑州,2021年04月,3.78万公里,,,,2025-06-13,2027-04,2026-04,-,2次（以车辆登记证为准）,,,中型车,黑色,,后置后驱,,,,,,,,,,,,
